IAGAPC-Enhanced
Round,MaxResidualEnergy,AvgHops,MinDelay,NetworkLifetime,MinDistToCH,Throughput,ProcessCapability,InterClusterDist,MinMutationRate,PacketsDelivered,PacketLoss,TotalEnergyConsumed,EnergyEfficiency,ProcessingTime(ms)
14,150.00,3.71,1.2542,112.00,14.2790,4.7500,0.3800,267.62,0.0500,532,0,28.05,18.96,573.00
15,150.00,3.71,1.2542,120.00,14.2790,4.7500,0.3800,267.62,0.0500,570,0,30.06,18.96,573.00
16,150.00,3.71,1.2542,128.00,14.2790,4.7500,0.3800,267.62,0.0500,608,0,32.06,18.96,573.00
17,150.00,3.71,1.2542,136.00,14.2790,4.7500,0.3800,267.62,0.0500,646,0,34.06,18.96,573.00
18,150.00,3.71,1.2542,144.00,14.2790,4.7500,0.3800,267.62,0.0500,684,0,36.07,18.96,573.00
19,150.00,3.71,1.2542,152.00,14.2790,4.7500,0.3800,267.62,0.0500,722,0,38.07,18.96,573.00
20,150.00,3.71,1.2542,160.00,14.2790,4.7500,0.3800,267.62,0.0500,760,0,40.07,18.96,573.00
21,150.00,3.71,1.2542,168.00,14.2790,4.7500,0.3800,267.62,0.0500,798,0,42.08,18.96,573.00
22,150.00,3.71,1.2542,176.00,14.2790,4.7500,0.3800,267.62,0.0500,836,0,44.08,18.96,573.00
23,150.00,3.71,1.2542,184.00,14.2790,4.7500,0.3800,267.62,0.0500,874,0,46.09,18.96,573.00
24,150.00,3.71,1.2542,192.00,14.2790,4.7500,0.3800,267.62,0.0500,912,0,48.09,18.96,573.00
25,150.00,3.71,1.2542,200.00,14.2790,4.7500,0.3800,267.62,0.0500,950,0,50.09,18.96,573.00
26,150.00,3.71,1.2542,208.00,14.2790,4.7500,0.3800,267.62,0.0500,988,0,52.10,18.96,573.00
27,150.00,3.71,1.2542,216.00,14.2790,4.7500,0.3800,267.62,0.0500,1026,0,54.10,18.96,573.00
28,150.00,3.71,1.2542,224.00,14.2790,4.7500,0.3800,267.62,0.0500,1064,0,56.10,18.96,573.00
29,150.00,3.71,1.2542,232.00,14.2790,4.7500,0.3800,267.62,0.0500,1102,0,58.11,18.96,573.00
30,150.00,3.71,1.2542,240.00,14.2790,4.7500,0.3800,267.62,0.0500,1140,0,60.11,18.96,573.00
31,150.00,3.71,1.2542,248.00,14.2790,4.7500,0.3800,267.62,0.0500,1178,0,62.11,18.96,573.00
32,150.00,3.71,1.2542,256.00,14.2790,4.7500,0.3800,267.62,0.0500,1216,0,64.12,18.96,573.00
33,150.00,3.71,1.2542,264.00,14.2790,4.7500,0.3800,267.62,0.0500,1254,0,66.12,18.96,573.00
34,150.00,3.71,1.2542,272.00,14.2790,4.7500,0.3800,267.62,0.0500,1292,0,68.13,18.96,573.00
35,150.00,3.71,1.2542,280.00,14.2790,4.7500,0.3800,267.62,0.0500,1330,0,70.13,18.96,573.00
36,150.00,3.71,1.2542,288.00,14.2790,4.7500,0.3800,267.62,0.0500,1368,0,72.13,18.96,573.00
37,150.00,3.71,1.2542,296.00,14.2790,4.7500,0.3800,267.62,0.0500,1406,0,74.14,18.96,573.00
38,150.00,3.71,1.2542,304.00,14.2790,4.7500,0.3800,267.62,0.0500,1444,0,76.14,18.96,573.00
39,150.00,3.71,1.2542,312.00,14.2790,4.7500,0.3800,267.62,0.0500,1482,0,78.14,18.96,573.00
40,150.00,3.71,1.2542,320.00,14.2790,4.7500,0.3800,267.62,0.0500,1520,0,80.15,18.96,573.00
41,150.00,3.71,1.2542,328.00,14.2790,4.7500,0.3800,267.62,0.0500,1558,0,82.15,18.96,573.00
42,150.00,3.71,1.2542,336.00,14.2790,4.7500,0.3800,267.62,0.0500,1596,0,84.16,18.96,573.00
43,150.00,3.71,1.2542,344.00,14.2790,4.7500,0.3800,267.62,0.0500,1634,0,86.16,18.96,573.00
44,150.00,3.71,1.2542,352.00,14.2790,4.7500,0.3800,267.62,0.0500,1672,0,88.16,18.96,573.00
45,150.00,3.71,1.2542,360.00,14.2790,4.7500,0.3800,267.62,0.0500,1710,0,90.17,18.96,573.00
46,150.00,3.71,1.2542,368.00,14.2790,4.7500,0.3800,267.62,0.0500,1748,0,92.17,18.96,573.00
47,150.00,3.71,1.2542,376.00,14.2790,4.7500,0.3800,267.62,0.0500,1786,0,94.17,18.96,573.00
48,150.00,3.71,1.2542,384.00,14.2790,4.7500,0.3800,267.62,0.0500,1824,0,96.18,18.96,573.00
49,150.00,3.71,1.2542,392.00,14.2790,4.7500,0.3800,267.62,0.0500,1862,0,98.18,18.96,573.00
50,150.00,3.71,1.2542,400.00,14.2790,4.7500,0.3800,267.62,0.0500,1900,0,100.19,18.96,573.00
51,150.00,3.71,1.2542,408.00,14.2790,4.7500,0.3800,267.62,0.0500,1938,0,102.19,18.96,573.00
52,150.00,3.71,1.2542,416.00,14.2790,4.7500,0.3800,267.62,0.0500,1976,0,104.19,18.96,573.00
53,150.00,3.71,1.2542,424.00,14.2790,4.7500,0.3800,267.62,0.0500,2014,0,106.20,18.96,573.00
54,150.00,3.71,1.2542,432.00,14.2790,4.7500,0.3800,267.62,0.0500,2052,0,108.20,18.96,573.00
55,150.00,3.71,1.2542,440.00,14.2790,4.7500,0.3800,267.62,0.0500,2090,0,110.20,18.96,573.00
56,150.00,3.71,1.2542,448.00,14.2790,4.7500,0.3800,267.62,0.0500,2128,0,112.21,18.96,573.00
57,150.00,3.71,1.2542,456.00,14.2790,4.7500,0.3800,267.62,0.0500,2166,0,114.21,18.96,573.00
58,150.00,3.71,1.2542,464.00,14.2790,4.7500,0.3800,267.62,0.0500,2204,0,116.21,18.96,573.00
59,150.00,3.71,1.2542,472.00,14.2790,4.7500,0.3800,267.62,0.0500,2242,0,118.22,18.96,573.00
60,150.00,3.71,1.2542,480.00,14.2790,4.7500,0.3800,267.62,0.0500,2280,0,120.22,18.96,573.00
61,150.00,3.71,1.2542,488.00,14.2790,4.7500,0.3800,267.62,0.0500,2318,0,122.23,18.96,573.00
62,150.00,3.71,1.2542,496.00,14.2790,4.7500,0.3800,267.62,0.0500,2356,0,124.23,18.96,573.00
63,150.00,3.71,1.2542,504.00,14.2790,4.7500,0.3800,267.62,0.0500,2394,0,126.23,18.96,573.00
64,150.00,3.71,1.2542,512.00,14.2790,4.7500,0.3800,267.62,0.0500,2432,0,128.24,18.96,573.00
65,150.00,3.71,1.2542,520.00,14.2790,4.7500,0.3800,267.62,0.0500,2470,0,130.24,18.96,573.00
66,150.00,3.71,1.2542,528.00,14.2790,4.7500,0.3800,267.62,0.0500,2508,0,132.24,18.96,573.00
67,150.00,3.71,1.2542,536.00,14.2790,4.7500,0.3800,267.62,0.0500,2546,0,134.25,18.96,573.00
68,150.00,3.71,1.2542,544.00,14.2790,4.7500,0.3800,267.62,0.0500,2584,0,136.25,18.96,573.00
69,150.00,3.71,1.2542,552.00,14.2790,4.7500,0.3800,267.62,0.0500,2622,0,138.26,18.96,573.00
70,150.00,3.71,1.2542,560.00,14.2790,4.7500,0.3800,267.62,0.0500,2660,0,140.26,18.96,573.00
71,150.00,3.71,1.2542,568.00,14.2790,4.7500,0.3800,267.62,0.0500,2698,0,142.26,18.96,573.00
72,150.00,3.71,1.2542,576.00,14.2790,4.7500,0.3800,267.62,0.0500,2736,0,144.27,18.96,573.00
73,150.00,3.71,1.2542,584.00,14.2790,4.7500,0.3800,267.62,0.0500,2774,0,146.27,18.96,573.00
74,150.00,3.71,1.2542,592.00,14.2790,4.7500,0.3800,267.62,0.0500,2812,0,148.27,18.96,573.00
75,150.00,3.71,1.2542,600.00,14.2790,4.7500,0.3800,267.62,0.0500,2850,0,150.28,18.96,573.00
76,150.00,3.71,1.2542,608.00,14.2790,4.7500,0.3800,267.62,0.0500,2888,0,152.28,18.96,573.00
77,150.00,3.71,1.2542,616.00,14.2790,4.7500,0.3800,267.62,0.0500,2926,0,154.29,18.96,573.00
78,150.00,3.71,1.2542,624.00,14.2790,4.7500,0.3800,267.62,0.0500,2964,0,156.29,18.96,573.00
79,150.00,3.71,1.2542,632.00,14.2790,4.7500,0.3800,267.62,0.0500,3002,0,158.29,18.96,573.00
80,150.00,3.71,1.2542,640.00,14.2790,4.7500,0.3800,267.62,0.0500,3040,0,160.30,18.96,573.00
81,150.00,3.71,1.2542,648.00,14.2790,4.7500,0.3800,267.62,0.0500,3078,0,162.30,18.96,573.00
82,150.00,3.71,1.2542,656.00,14.2790,4.7500,0.3800,267.62,0.0500,3116,0,164.30,18.96,573.00
83,150.00,3.71,1.2542,664.00,14.2790,4.7500,0.3800,267.62,0.0500,3154,0,166.31,18.96,573.00
84,150.00,3.71,1.2542,672.00,14.2790,4.7500,0.3800,267.62,0.0500,3192,0,168.31,18.96,573.00
85,150.00,3.71,1.2542,680.00,14.2790,4.7500,0.3800,267.62,0.0500,3230,0,170.31,18.96,573.00
86,150.00,3.71,1.2542,688.00,14.2790,4.7500,0.3800,267.62,0.0500,3268,0,172.32,18.96,573.00
87,150.00,3.71,1.2542,696.00,14.2790,4.7500,0.3800,267.62,0.0500,3306,0,174.32,18.96,573.00
88,150.00,3.71,1.2542,704.00,14.2790,4.7500,0.3800,267.62,0.0500,3344,0,176.33,18.96,573.00
89,150.00,3.71,1.2542,712.00,14.2790,4.7500,0.3800,267.62,0.0500,3382,0,178.33,18.96,573.00
90,150.00,3.71,1.2542,720.00,14.2790,4.7500,0.3800,267.62,0.0500,3420,0,180.33,18.96,573.00
91,150.00,3.71,1.2542,728.00,14.2790,4.7500,0.3800,267.62,0.0500,3458,0,182.34,18.96,573.00
92,150.00,3.71,1.2542,736.00,14.2790,4.7500,0.3800,267.62,0.0500,3496,0,184.34,18.96,573.00
93,150.00,3.71,1.2542,744.00,14.2790,4.7500,0.3800,267.62,0.0500,3534,0,186.34,18.96,573.00
94,150.00,3.71,1.2542,752.00,14.2790,4.7500,0.3800,267.62,0.0500,3572,0,188.35,18.96,573.00
95,150.00,3.71,1.2542,760.00,14.2790,4.7500,0.3800,267.62,0.0500,3610,0,190.35,18.96,573.00
96,150.00,3.71,1.2542,768.00,14.2790,4.7500,0.3800,267.62,0.0500,3648,0,192.36,18.96,573.00
97,150.00,3.71,1.2542,776.00,14.2790,4.7500,0.3800,267.62,0.0500,3686,0,194.36,18.96,573.00
98,150.00,3.71,1.2542,784.00,14.2790,4.7500,0.3800,267.62,0.0500,3724,0,196.36,18.96,573.00
99,150.00,3.71,1.2542,792.00,14.2790,4.7500,0.3800,267.62,0.0500,3762,0,198.37,18.96,573.00
100,150.00,3.71,1.2542,800.00,14.2790,4.7500,0.3800,267.62,0.0500,3800,0,200.37,18.96,573.00

RCGA-ABC
Round,MaxResidualEnergy,AvgHops,MinDelay,NetworkLifetime,MinDistToCH,Throughput,ProcessCapability,InterClusterDist,MinMutationRate,PacketsDelivered,PacketLoss,TotalEnergyConsumed,EnergyEfficiency,ProcessingTime(ms)
1,150.00,4.39,2.1976,8.00,14.2790,2.8750,0.2300,267.62,0.0300,23,0,1.10,21.00,500.00
2,150.00,4.39,2.1976,16.00,14.2790,2.8750,0.2300,267.62,0.0300,46,0,2.19,21.00,500.00
3,150.00,4.39,2.1976,24.00,14.2790,2.8750,0.2300,267.62,0.0300,69,0,3.29,21.00,500.00
4,150.00,4.39,2.1976,32.00,14.2790,2.8750,0.2300,267.62,0.0300,92,0,4.38,21.00,500.00
5,150.00,4.39,2.1976,40.00,14.2790,2.8750,0.2300,267.62,0.0300,115,0,5.48,21.00,500.00
6,150.00,4.39,2.1976,48.00,14.2790,2.8750,0.2300,267.62,0.0300,138,0,6.57,21.00,500.00
7,150.00,4.39,2.1976,56.00,14.2790,2.8750,0.2300,267.62,0.0300,161,0,7.67,21.00,500.00
8,150.00,4.39,2.1976,64.00,14.2790,2.8750,0.2300,267.62,0.0300,184,0,8.76,21.00,500.00
9,150.00,4.39,2.1976,72.00,14.2790,2.8750,0.2300,267.62,0.0300,207,0,9.86,21.00,500.00
10,150.00,4.39,2.1976,80.00,14.2790,2.8750,0.2300,267.62,0.0300,230,0,10.95,21.00,500.00
11,150.00,4.39,2.1976,88.00,14.2790,2.8750,0.2300,267.62,0.0300,253,0,12.05,21.00,500.00
12,150.00,4.39,2.1976,96.00,14.2790,2.8750,0.2300,267.62,0.0300,276,0,13.14,21.00,500.00
13,150.00,4.39,2.1976,104.00,14.2790,2.8750,0.2300,267.62,0.0300,299,0,14.24,21.00,500.00
14,150.00,4.39,2.1976,112.00,14.2790,2.8750,0.2300,267.62,0.0300,322,0,15.33,21.00,500.00
15,150.00,4.39,2.1976,120.00,14.2790,2.8750,0.2300,267.62,0.0300,345,0,16.43,21.00,500.00
16,150.00,4.39,2.1976,128.00,14.2790,2.8750,0.2300,267.62,0.0300,368,0,17.52,21.00,500.00
17,150.00,4.39,2.1976,136.00,14.2790,2.8750,0.2300,267.62,0.0300,391,0,18.62,21.00,500.00
18,150.00,4.39,2.1976,144.00,14.2790,2.8750,0.2300,267.62,0.0300,414,0,19.71,21.00,500.00
19,150.00,4.39,2.1976,152.00,14.2790,2.8750,0.2300,267.62,0.0300,437,0,20.81,21.00,500.00
20,150.00,4.39,2.1976,160.00,14.2790,2.8750,0.2300,267.62,0.0300,460,0,21.90,21.00,500.00
21,150.00,4.39,2.1976,168.00,14.2790,2.8750,0.2300,267.62,0.0300,483,0,23.00,21.00,500.00
22,150.00,4.39,2.1976,176.00,14.2790,2.8750,0.2300,267.62,0.0300,506,0,24.09,21.00,500.00
23,150.00,4.39,2.1976,184.00,14.2790,2.8750,0.2300,267.62,0.0300,529,0,25.19,21.00,500.00
24,150.00,4.39,2.1976,192.00,14.2790,2.8750,0.2300,267.62,0.0300,552,0,26.28,21.00,500.00
25,150.00,4.39,2.1976,200.00,14.2790,2.8750,0.2300,267.62,0.0300,575,0,27.38,21.00,500.00
26,150.00,4.39,2.1976,208.00,14.2790,2.8750,0.2300,267.62,0.0300,598,0,28.47,21.00,500.00
27,150.00,4.39,2.1976,216.00,14.2790,2.8750,0.2300,267.62,0.0300,621,0,29.57,21.00,500.00
28,150.00,4.39,2.1976,224.00,14.2790,2.8750,0.2300,267.62,0.0300,644,0,30.66,21.00,500.00
29,150.00,4.39,2.1976,232.00,14.2790,2.8750,0.2300,267.62,0.0300,667,0,31.76,21.00,500.00
30,150.00,4.39,2.1976,240.00,14.2790,2.8750,0.2300,267.62,0.0300,690,0,32.85,21.00,500.00
31,150.00,4.39,2.1976,248.00,14.2790,2.8750,0.2300,267.62,0.0300,713,0,33.95,21.00,500.00
32,150.00,4.39,2.1976,256.00,14.2790,2.8750,0.2300,267.62,0.0300,736,0,35.04,21.00,500.00
33,150.00,4.39,2.1976,264.00,14.2790,2.8750,0.2300,267.62,0.0300,759,0,36.14,21.00,500.00
34,150.00,4.39,2.1976,272.00,14.2790,2.8750,0.2300,267.62,0.0300,782,0,37.24,21.00,500.00
35,150.00,4.39,2.1976,280.00,14.2790,2.8750,0.2300,267.62,0.0300,805,0,38.33,21.00,500.00
36,150.00,4.39,2.1976,288.00,14.2790,2.8750,0.2300,267.62,0.0300,828,0,39.43,21.00,500.00
37,150.00,4.39,2.1976,296.00,14.2790,2.8750,0.2300,267.62,0.0300,851,0,40.52,21.00,500.00
38,150.00,4.39,2.1976,304.00,14.2790,2.8750,0.2300,267.62,0.0300,874,0,41.62,21.00,500.00
39,150.00,4.39,2.1976,312.00,14.2790,2.8750,0.2300,267.62,0.0300,897,0,42.71,21.00,500.00
40,150.00,4.39,2.1976,320.00,14.2790,2.8750,0.2300,267.62,0.0300,920,0,43.81,21.00,500.00
41,150.00,4.39,2.1976,328.00,14.2790,2.8750,0.2300,267.62,0.0300,943,0,44.90,21.00,500.00
42,150.00,4.39,2.1976,336.00,14.2790,2.8750,0.2300,267.62,0.0300,966,0,46.00,21.00,500.00
43,150.00,4.39,2.1976,344.00,14.2790,2.8750,0.2300,267.62,0.0300,989,0,47.09,21.00,500.00
44,150.00,4.39,2.1976,352.00,14.2790,2.8750,0.2300,267.62,0.0300,1012,0,48.19,21.00,500.00
45,150.00,4.39,2.1976,360.00,14.2790,2.8750,0.2300,267.62,0.0300,1035,0,49.28,21.00,500.00
46,150.00,4.39,2.1976,368.00,14.2790,2.8750,0.2300,267.62,0.0300,1058,0,50.38,21.00,500.00
47,150.00,4.39,2.1976,376.00,14.2790,2.8750,0.2300,267.62,0.0300,1081,0,51.47,21.00,500.00
48,150.00,4.39,2.1976,384.00,14.2790,2.8750,0.2300,267.62,0.0300,1104,0,52.57,21.00,500.00
49,150.00,4.39,2.1976,392.00,14.2790,2.8750,0.2300,267.62,0.0300,1127,0,53.66,21.00,500.00
50,150.00,4.39,2.1976,400.00,14.2790,2.8750,0.2300,267.62,0.0300,1150,0,54.76,21.00,500.00
51,150.00,4.39,2.1976,408.00,14.2790,2.8750,0.2300,267.62,0.0300,1173,0,55.85,21.00,500.00
52,150.00,4.39,2.1976,416.00,14.2790,2.8750,0.2300,267.62,0.0300,1196,0,56.95,21.00,500.00
53,150.00,4.39,2.1976,424.00,14.2790,2.8750,0.2300,267.62,0.0300,1219,0,58.04,21.00,500.00
54,150.00,4.39,2.1976,432.00,14.2790,2.8750,0.2300,267.62,0.0300,1242,0,59.14,21.00,500.00
55,150.00,4.39,2.1976,440.00,14.2790,2.8750,0.2300,267.62,0.0300,1265,0,60.23,21.00,500.00
56,150.00,4.39,2.1976,448.00,14.2790,2.8750,0.2300,267.62,0.0300,1288,0,61.33,21.00,500.00
57,150.00,4.39,2.1976,456.00,14.2790,2.8750,0.2300,267.62,0.0300,1311,0,62.42,21.00,500.00
58,150.00,4.39,2.1976,464.00,14.2790,2.8750,0.2300,267.62,0.0300,1334,0,63.52,21.00,500.00
59,150.00,4.39,2.1976,472.00,14.2790,2.8750,0.2300,267.62,0.0300,1357,0,64.61,21.00,500.00
60,150.00,4.39,2.1976,480.00,14.2790,2.8750,0.2300,267.62,0.0300,1380,0,65.71,21.00,500.00
61,150.00,4.39,2.1976,488.00,14.2790,2.8750,0.2300,267.62,0.0300,1403,0,66.80,21.00,500.00
62,150.00,4.39,2.1976,496.00,14.2790,2.8750,0.2300,267.62,0.0300,1426,0,67.90,21.00,500.00
63,150.00,4.39,2.1976,504.00,14.2790,2.8750,0.2300,267.62,0.0300,1449,0,68.99,21.00,500.00
64,150.00,4.39,2.1976,512.00,14.2790,2.8750,0.2300,267.62,0.0300,1472,0,70.09,21.00,500.00
65,150.00,4.39,2.1976,520.00,14.2790,2.8750,0.2300,267.62,0.0300,1495,0,71.19,21.00,500.00
66,150.00,4.39,2.1976,528.00,14.2790,2.8750,0.2300,267.62,0.0300,1518,0,72.28,21.00,500.00
67,150.00,4.39,2.1976,536.00,14.2790,2.8750,0.2300,267.62,0.0300,1541,0,73.38,21.00,500.00
68,150.00,4.39,2.1976,544.00,14.2790,2.8750,0.2300,267.62,0.0300,1564,0,74.47,21.00,500.00
69,150.00,4.39,2.1976,552.00,14.2790,2.8750,0.2300,267.62,0.0300,1587,0,75.57,21.00,500.00
70,150.00,4.39,2.1976,560.00,14.2790,2.8750,0.2300,267.62,0.0300,1610,0,76.66,21.00,500.00
71,150.00,4.39,2.1976,568.00,14.2790,2.8750,0.2300,267.62,0.0300,1633,0,77.76,21.00,500.00
72,150.00,4.39,2.1976,576.00,14.2790,2.8750,0.2300,267.62,0.0300,1656,0,78.85,21.00,500.00
73,150.00,4.39,2.1976,584.00,14.2790,2.8750,0.2300,267.62,0.0300,1679,0,79.95,21.00,500.00
74,150.00,4.39,2.1976,592.00,14.2790,2.8750,0.2300,267.62,0.0300,1702,0,81.04,21.00,500.00
75,150.00,4.39,2.1976,600.00,14.2790,2.8750,0.2300,267.62,0.0300,1725,0,82.14,21.00,500.00
76,150.00,4.39,2.1976,608.00,14.2790,2.8750,0.2300,267.62,0.0300,1748,0,83.23,21.00,500.00
77,150.00,4.39,2.1976,616.00,14.2790,2.8750,0.2300,267.62,0.0300,1771,0,84.33,21.00,500.00
78,150.00,4.39,2.1976,624.00,14.2790,2.8750,0.2300,267.62,0.0300,1794,0,85.42,21.00,500.00
79,150.00,4.39,2.1976,632.00,14.2790,2.8750,0.2300,267.62,0.0300,1817,0,86.52,21.00,500.00
80,150.00,4.39,2.1976,640.00,14.2790,2.8750,0.2300,267.62,0.0300,1840,0,87.61,21.00,500.00
81,150.00,4.39,2.1976,648.00,14.2790,2.8750,0.2300,267.62,0.0300,1863,0,88.71,21.00,500.00
82,150.00,4.39,2.1976,656.00,14.2790,2.8750,0.2300,267.62,0.0300,1886,0,89.80,21.00,500.00
83,150.00,4.39,2.1976,664.00,14.2790,2.8750,0.2300,267.62,0.0300,1909,0,90.90,21.00,500.00
84,150.00,4.39,2.1976,672.00,14.2790,2.8750,0.2300,267.62,0.0300,1932,0,91.99,21.00,500.00
85,150.00,4.39,2.1976,680.00,14.2790,2.8750,0.2300,267.62,0.0300,1955,0,93.09,21.00,500.00
86,150.00,4.39,2.1976,688.00,14.2790,2.8750,0.2300,267.62,0.0300,1978,0,94.18,21.00,500.00
87,150.00,4.39,2.1976,696.00,14.2790,2.8750,0.2300,267.62,0.0300,2001,0,95.28,21.00,500.00
88,150.00,4.39,2.1976,704.00,14.2790,2.8750,0.2300,267.62,0.0300,2024,0,96.37,21.00,500.00
89,150.00,4.39,2.1976,712.00,14.2790,2.8750,0.2300,267.62,0.0300,2047,0,97.47,21.00,500.00
90,150.00,4.39,2.1976,720.00,14.2790,2.8750,0.2300,267.62,0.0300,2070,0,98.56,21.00,500.00
91,150.00,4.39,2.1976,728.00,14.2790,2.8750,0.2300,267.62,0.0300,2093,0,99.66,21.00,500.00
92,150.00,4.39,2.1976,736.00,14.2790,2.8750,0.2300,267.62,0.0300,2116,0,100.75,21.00,500.00
93,150.00,4.39,2.1976,744.00,14.2790,2.8750,0.2300,267.62,0.0300,2139,0,101.85,21.00,500.00
94,150.00,4.39,2.1976,752.00,14.2790,2.8750,0.2300,267.62,0.0300,2162,0,102.94,21.00,500.00
95,150.00,4.39,2.1976,760.00,14.2790,2.8750,0.2300,267.62,0.0300,2185,0,104.04,21.00,500.00
96,150.00,4.39,2.1976,768.00,14.2790,2.8750,0.2300,267.62,0.0300,2208,0,105.13,21.00,500.00
97,150.00,4.39,2.1976,776.00,14.2790,2.8750,0.2300,267.62,0.0300,2231,0,106.23,21.00,500.00
98,150.00,4.39,2.1976,784.00,14.2790,2.8750,0.2300,267.62,0.0300,2254,0,107.33,21.00,500.00
99,150.00,4.39,2.1976,792.00,14.2790,2.8750,0.2300,267.62,0.0300,2277,0,108.42,21.00,500.00
100,150.00,4.39,2.1976,800.00,14.2790,2.8750,0.2300,267.62,0.0300,2300,0,109.52,21.00,500.00

DGA-M
Round,MaxResidualEnergy,AvgHops,MinDelay,NetworkLifetime,MinDistToCH,Throughput,ProcessCapability,InterClusterDist,MinMutationRate,PacketsDelivered,PacketLoss,TotalEnergyConsumed,EnergyEfficiency,ProcessingTime(ms)
1,150.00,3.66,1.3163,8.00,14.2790,4.7500,0.3800,267.62,0.1500,38,0,2.05,18.54,2296.00
2,150.00,3.66,1.3163,16.00,14.2790,4.7500,0.3800,267.62,0.1500,76,0,4.10,18.54,2296.00
3,150.00,3.66,1.3163,24.00,14.2790,4.7500,0.3800,267.62,0.1500,114,0,6.15,18.54,2296.00
4,150.00,3.66,1.3163,32.00,14.2790,4.7500,0.3800,267.62,0.1500,152,0,8.20,18.54,2296.00
5,150.00,3.66,1.3163,40.00,14.2790,4.7500,0.3800,267.62,0.1500,190,0,10.25,18.54,2296.00
6,150.00,3.66,1.3163,48.00,14.2790,4.7500,0.3800,267.62,0.1500,228,0,12.30,18.54,2296.00
7,150.00,3.66,1.3163,56.00,14.2790,4.7500,0.3800,267.62,0.1500,266,0,14.35,18.54,2296.00
8,150.00,3.66,1.3163,64.00,14.2790,4.7500,0.3800,267.62,0.1500,304,0,16.40,18.54,2296.00
9,150.00,3.66,1.3163,72.00,14.2790,4.7500,0.3800,267.62,0.1500,342,0,18.45,18.54,2296.00
10,150.00,3.66,1.3163,80.00,14.2790,4.7500,0.3800,267.62,0.1500,380,0,20.50,18.54,2296.00
11,150.00,3.66,1.3163,88.00,14.2790,4.7500,0.3800,267.62,0.1500,418,0,22.54,18.54,2296.00
12,150.00,3.66,1.3163,96.00,14.2790,4.7500,0.3800,267.62,0.1500,456,0,24.59,18.54,2296.00
13,150.00,3.66,1.3163,104.00,14.2790,4.7500,0.3800,267.62,0.1500,494,0,26.64,18.54,2296.00
14,150.00,3.66,1.3163,112.00,14.2790,4.7500,0.3800,267.62,0.1500,532,0,28.69,18.54,2296.00
15,150.00,3.66,1.3163,120.00,14.2790,4.7500,0.3800,267.62,0.1500,570,0,30.74,18.54,2296.00
16,150.00,3.66,1.3163,128.00,14.2790,4.7500,0.3800,267.62,0.1500,608,0,32.79,18.54,2296.00
17,150.00,3.66,1.3163,136.00,14.2790,4.7500,0.3800,267.62,0.1500,646,0,34.84,18.54,2296.00
18,150.00,3.66,1.3163,144.00,14.2790,4.7500,0.3800,267.62,0.1500,684,0,36.89,18.54,2296.00
19,150.00,3.66,1.3163,152.00,14.2790,4.7500,0.3800,267.62,0.1500,722,0,38.94,18.54,2296.00
20,150.00,3.66,1.3163,160.00,14.2790,4.7500,0.3800,267.62,0.1500,760,0,40.99,18.54,2296.00
21,150.00,3.66,1.3163,168.00,14.2790,4.7500,0.3800,267.62,0.1500,798,0,43.04,18.54,2296.00
22,150.00,3.66,1.3163,176.00,14.2790,4.7500,0.3800,267.62,0.1500,836,0,45.09,18.54,2296.00
23,150.00,3.66,1.3163,184.00,14.2790,4.7500,0.3800,267.62,0.1500,874,0,47.14,18.54,2296.00
24,150.00,3.66,1.3163,192.00,14.2790,4.7500,0.3800,267.62,0.1500,912,0,49.19,18.54,2296.00
25,150.00,3.66,1.3163,200.00,14.2790,4.7500,0.3800,267.62,0.1500,950,0,51.24,18.54,2296.00
26,150.00,3.66,1.3163,208.00,14.2790,4.7500,0.3800,267.62,0.1500,988,0,53.29,18.54,2296.00
27,150.00,3.66,1.3163,216.00,14.2790,4.7500,0.3800,267.62,0.1500,1026,0,55.34,18.54,2296.00
28,150.00,3.66,1.3163,224.00,14.2790,4.7500,0.3800,267.62,0.1500,1064,0,57.39,18.54,2296.00
29,150.00,3.66,1.3163,232.00,14.2790,4.7500,0.3800,267.62,0.1500,1102,0,59.44,18.54,2296.00
30,150.00,3.66,1.3163,240.00,14.2790,4.7500,0.3800,267.62,0.1500,1140,0,61.49,18.54,2296.00
31,150.00,3.66,1.3163,248.00,14.2790,4.7500,0.3800,267.62,0.1500,1178,0,63.54,18.54,2296.00
32,150.00,3.66,1.3163,256.00,14.2790,4.7500,0.3800,267.62,0.1500,1216,0,65.58,18.54,2296.00
33,150.00,3.66,1.3163,264.00,14.2790,4.7500,0.3800,267.62,0.1500,1254,0,67.63,18.54,2296.00
34,150.00,3.66,1.3163,272.00,14.2790,4.7500,0.3800,267.62,0.1500,1292,0,69.68,18.54,2296.00
35,150.00,3.66,1.3163,280.00,14.2790,4.7500,0.3800,267.62,0.1500,1330,0,71.73,18.54,2296.00
36,150.00,3.66,1.3163,288.00,14.2790,4.7500,0.3800,267.62,0.1500,1368,0,73.78,18.54,2296.00
37,150.00,3.66,1.3163,296.00,14.2790,4.7500,0.3800,267.62,0.1500,1406,0,75.83,18.54,2296.00
38,150.00,3.66,1.3163,304.00,14.2790,4.7500,0.3800,267.62,0.1500,1444,0,77.88,18.54,2296.00
39,150.00,3.66,1.3163,312.00,14.2790,4.7500,0.3800,267.62,0.1500,1482,0,79.93,18.54,2296.00
40,150.00,3.66,1.3163,320.00,14.2790,4.7500,0.3800,267.62,0.1500,1520,0,81.98,18.54,2296.00
