scheme,numNodes,areaWidth,areaHeight,simTime,dataRateKbps,packetSize,sinkVelocity,rngRun,gaBestFitness,packetsGenerated,packetsBufferedSent,packetsSent,packetsReceived,bufferOverflowDrops,pdrPercent,throughputKbps,avgDelaySec,totalEnergyConsumedJ,minRemainingEnergyJ,fndTimeSec,hndTimeSec,lndTimeSec,avgTurningAngleDeg,processingTimeMs,arpL3Drops,arpCacheDrops
AGAPC,200,1000,1000,300,250,512,10,8,0.336655,581520,13454,634,350,558066,0.0601871,4.77867,1.32185,140,0,34.35,37.25,132.45,76.9228,4,7354,5600
AGAPC,200,1000,1000,300,250,512,10,5,0.350198,586690,19555,8323,5099,557216,0.869113,69.6183,2.72625,140,0,34.35,37.4,135.8,59.3194,4,7203,4100
AGAPC,200,1000,1000,300,250,512,10,7,0.342796,589123,22307,6177,3151,556892,0.534863,43.0217,0.527168,140,0,34.55,37.55,148.95,81.0972,6,10856,5350
AGAPC,200,1000,1000,300,250,512,10,6,0.321132,585709,18259,7099,4036,557566,0.689079,55.1049,3.90696,140,0,34.4,37.4,134.85,69.1549,4,6005,5251
AGAPC,200,1000,1000,300,250,512,10,9,0.332392,594328,28260,5727,2558,556136,0.430402,34.9252,0.676343,140,0,34.4,37.35,145.95,88.8215,5,13559,9100
EGATS-N,200,1000,1000,300,250,512,10,4,0.328167,589054,22354,84,0,556748,0,0,0,140,0,34.35,37.3,180.4,88.9798,5,15954,6400
AGAPC,200,1000,1000,300,250,512,10,10,0.339765,586593,19356,7068,5351,557310,0.912217,73.059,1.42161,140,0,34.45,37.4,143.4,66.0179,9,8304,4050
EGATS-N,200,1000,1000,300,250,512,10,1,0.335803,583774,16007,7018,3579,557815,0.61308,48.8653,2.64236,140,0,34.45,37.45,136.55,79.0991,5,2753,6352
EGATS-N,200,1000,1000,300,250,512,10,5,0.367023,584944,17356,1500,849,557588,0.145142,11.5917,3.26257,140,0,34.35,37.4,134.4,62.1274,12,9456,6500
EGATS-N,200,1000,1000,300,250,512,10,6,0.325725,581698,13755,3043,1901,558075,0.326802,25.955,2.47836,140,0,34.4,37.4,120.2,99.76,9,5652,5151
EGATS-N,200,1000,1000,300,250,512,10,9,0.368442,583604,16006,1634,699,557772,0.119773,9.54368,8.15328,140,0,34.4,37.35,155.7,82.0617,11,8906,5550
EGATS-N,200,1000,1000,300,250,512,10,2,0.336911,592743,26656,14370,5001,556196,0.843705,68.2803,1.50782,140,0,34.35,37.35,164.1,76.2047,14,7454,4900
EGATS-N,200,1000,1000,300,250,512,10,10,0.341544,588953,22106,5588,5202,556881,0.883262,71.0246,0.428525,140,0,34.45,37.35,169.25,82.8671,13,10704,5900
EGATS-N,200,1000,1000,300,250,512,10,7,0.340517,589662,23005,8164,5265,556699,0.892884,71.8848,0.598561,140,0,34.55,37.6,146.85,51.2802,5,10004,4900
EGATS-N,200,1000,1000,300,250,512,10,3,0.365029,600909,35812,12669,7652,555097,1.2734,104.475,0.938055,140,0,34.45,37.25,178.15,77.0326,5,15959,7300
RCGA-ABC,200,1000,1000,300,250,512,10,1,0.308102,582291,14306,2915,2151,558018,0.369403,29.3683,1.09133,140,0,34.45,37.35,135.15,116.555,11,4705,6850
RCGA-ABC,200,1000,1000,300,250,512,10,4,0.322376,580679,12505,906,600,558258,0.103327,8.192,1.46641,140,0,34.35,37.4,127.1,93.3756,6,5555,6150
EGATS-N,200,1000,1000,300,250,512,10,8,0.323706,579289,10657,5366,3405,558632,0.58779,46.4896,1.16308,140,0,34.35,37.45,107.65,87.7626,5,1200,4202
RCGA-ABC,200,1000,1000,300,250,512,10,2,0.314114,587987,20907,5456,5252,557119,0.893217,71.7073,0.428585,140,0,34.35,37.35,141.8,72.8898,8,8555,7000
RCGA-ABC,200,1000,1000,300,250,512,10,3,0.346858,579609,11254,3802,2751,558393,0.47463,37.5603,0.542522,140,0,34.45,37.05,130.2,83.9289,6,4453,3050
RCGA-ABC,200,1000,1000,300,250,512,10,7,0.327037,589021,22107,4062,3201,556914,0.543444,43.7043,0.687326,140,0,34.55,37.55,136.6,118.187,6,11006,7150
RCGA-ABC,200,1000,1000,300,250,512,10,10,0.33607,586563,19456,540,250,557264,0.0426212,3.41333,1.67206,140,0,34.45,37.5,139.25,103.658,6,10406,8650
DGA-M,200,1000,1000,300,250,512,10,1,0.335128,582069,14156,3663,2101,558036,0.360954,28.6857,0.428201,140,0,34.45,37.2,111.45,87.5197,4,5655,4900
DGA-M,200,1000,1000,300,250,512,10,2,0.320287,589374,22557,6132,5602,556860,0.9505,76.486,0.429024,140,0,34.35,37.35,147.4,90.8114,5,10305,6200
RCGA-ABC,200,1000,1000,300,250,512,10,5,0.328692,593497,27753,11024,6149,555898,1.03606,83.9543,2.75192,140,0,34.35,37.5,140.3,103.772,10,9450,7400
RCGA-ABC,200,1000,1000,300,250,512,10,9,0.322311,584164,16554,10439,7750,557644,1.32668,105.813,1.69627,140,0,34.4,37.35,139.05,130.271,6,4152,2000
RCGA-ABC,200,1000,1000,300,250,512,10,6,0.304863,584683,16910,7121,3701,557821,0.632993,50.531,3.48205,140,0,34.4,37.45,126.95,133.594,6,3803,6103
DGA-M,200,1000,1000,300,250,512,10,5,0.353764,575922,7101,36,0,558909,0,0,0,140,0,34.35,37.4,119.75,88.4094,10,4401,2700
DGA-M,200,1000,1000,300,250,512,10,4,0.328886,594213,28060,3587,2851,556153,0.479794,38.9257,0.815391,140,0,34.35,37.35,142.4,69.5012,10,14309,10300
DGA-M,200,1000,1000,300,250,512,10,6,0.320281,581350,13156,72,0,558194,0,0,0,140,0,34.4,37.3,112.8,86.593,8,8656,4500
DGA-M,200,1000,1000,300,250,512,10,7,0.345773,584851,17405,5600,3000,557529,0.512951,40.96,2.50774,140,0,34.55,37.55,152.95,92.7371,4,6800,5104
DGA-M,200,1000,1000,300,250,512,10,3,0.346421,590530,23908,12654,7999,556690,1.35455,109.213,2.62976,140,0,34.45,37.25,121.1,87.7802,4,6652,4704
DGA-M,200,1000,1000,300,250,512,10,9,0.342428,601903,37159,7522,5800,554776,0.96361,79.1893,0.897863,140,0,34.4,37.35,171.05,83.1852,4,20708,9050
RCGA-ABC,200,1000,1000,300,250,512,10,8,0.312288,595722,29957,21904,11382,555812,1.91062,155.402,0.547931,140,0,34.35,37.35,193.4,103.217,16,4753,3350
DGA-M,200,1000,1000,300,250,512,10,8,0.337729,603277,39107,22662,22504,554438,3.73029,307.255,0.428857,140,0,34.35,37.35,152.6,101.384,4,12003,4500
CGAPD,200,1000,1000,300,250,512,10,1,0,581270,13204,6744,4249,558103,0.730986,58.013,3.00941,140,0,34.45,37.45,118.45,82.9253,0,1650,4902
DGA-M,200,1000,1000,300,250,512,10,10,0.326762,590488,23710,7981,2704,556818,0.457926,36.9186,0.719891,140,0,34.45,37.4,146.4,97.7045,5,10105,5702
CGAPD,200,1000,1000,300,250,512,10,6,0,580472,12155,3210,2029,558317,0.349543,27.7026,2.72804,140,0,34.4,37.4,116.25,71.6796,0,1851,7202
CGAPD,200,1000,1000,300,250,512,10,4,0,577732,9004,5275,3369,558728,0.583142,45.9981,3.60205,140,0,34.35,37.35,117.5,63.6905,0,1051,2753
CGAPD,200,1000,1000,300,250,512,10,5,0,579893,11554,4781,2528,558382,0.435942,34.5156,2.69115,140,0,34.35,37.5,123.65,77.3878,0,2450,4403
CGAPD,200,1000,1000,300,250,512,10,2,0,581805,13658,6385,3892,558216,0.668953,53.1388,3.06538,140,0,34.35,37.5,116.25,50.4543,0,1451,5955
CGAPD,200,1000,1000,300,250,512,10,8,0,581531,13554,4183,2353,558068,0.404622,32.1263,2.4866,140,0,34.35,37.4,115.9,59.6451,0,1950,7551
CGAPD,200,1000,1000,300,250,512,10,3,0,582042,14105,9213,5674,558030,0.974844,77.469,3.99991,140,0,34.45,37.1,120.85,76.0785,0,1050,3954
CGAPD,200,1000,1000,300,250,512,10,7,0,582648,14804,7002,4252,557882,0.729772,58.054,3.02341,140,0,34.55,37.6,118.6,70.2961,0,2451,5450
CGAPD,200,1000,1000,300,250,512,10,10,0,577285,8505,3344,1851,558876,0.320639,25.2723,1.7742,140,0,34.45,37.45,118.05,63.3874,0,1000,4254
CGAPD,200,1000,1000,300,250,512,10,9,0,580668,12503,5846,3650,558200,0.628586,49.8347,3.07865,140,0,34.4,37.4,114.6,58.0489,0,1601,5151
IAGAPC-Enhanced,300,1000,1000,300,250,512,10,3,0.568633,879207,28208,5308,4552,836035,0.517739,62.15,0.49635,210,0,34.35,37.2,204.55,18.3766,23,15606,7400
IAGAPC-Enhanced,300,1000,1000,300,250,512,10,6,0.57088,873896,22107,3236,2701,836877,0.309076,36.8777,0.428737,210,0,34.35,37.1,151.4,17.9409,13,12606,6350
IAGAPC-Enhanced,300,1000,1000,300,250,512,10,4,0.56315,907136,61160,13127,12093,831210,1.3331,165.11,1.1305,210,0,34.35,37.2,201.6,15.9453,19,34808,13400
IAGAPC-Enhanced,300,1000,1000,300,250,512,10,5,0.547403,874607,22808,6698,2799,836840,0.320029,38.2157,4.28746,210,0,34.4,37.25,143.45,27.0346,17,9607,6600
IAGAPC-Enhanced,300,1000,1000,300,250,512,10,7,0.565385,867938,15157,6123,4050,837897,0.466623,55.296,1.98817,210,0,34.4,37.05,128.45,27.0889,13,4355,4750
IAGAPC-Enhanced,300,1000,1000,300,250,512,10,1,0.544317,873795,22157,10651,7097,836872,0.812204,96.8977,3.5482,210,0,34.35,37.25,116.7,19.6659,16,4402,7253
IAGAPC-Enhanced,300,1000,1000,300,250,512,10,9,0.568694,875166,23410,9189,5202,836802,0.594402,71.0246,1.67941,210,0,34.35,37.5,168.4,23.8262,13,9255,5052
IAGAPC-Enhanced,300,1000,1000,300,250,512,10,10,0.564622,880771,29857,14367,13503,835914,1.53309,184.361,0.440916,210,0,34.35,37.3,165.65,22.0679,20,10804,4750
IAGAPC-Enhanced,300,1000,1000,300,250,512,10,8,0.559786,894668,46208,19298,15674,833460,1.75193,214.002,0.432601,210,0,34.4,37.15,202.8,24.642,13,19505,7500
AGAPC,300,1000,1000,300,250,512,10,1,0.32114,876837,25507,11072,8652,836370,0.986728,118.129,1.05245,210,0,34.35,37.2,147.2,79.0882,6,9904,4600
IAGAPC-Enhanced,300,1000,1000,300,250,512,10,2,0.561107,895610,47115,17787,5704,833527,0.636884,77.8786,0.852288,210,0,34.35,37.2,164.7,20.2057,19,20259,9201
AGAPC,300,1000,1000,300,250,512,10,3,0.320525,881628,30961,7956,5051,835696,0.572917,68.963,1.20294,210,0,34.35,37.3,141.4,68.8208,7,15459,7650
AGAPC,300,1000,1000,300,250,512,10,5,0.291808,869971,17408,1086,250,837658,0.0287366,3.41333,1.67345,210,0,34.4,37.25,124.4,74.0398,7,10158,6250
AGAPC,300,1000,1000,300,250,512,10,2,0.314137,877724,26557,10288,5379,836212,0.612835,73.4413,0.935671,210,0,34.35,37.05,157.85,100.753,6,10705,5650
AGAPC,300,1000,1000,300,250,512,10,8,0.315763,872659,20657,1622,550,837144,0.0630258,7.50933,0.99356,210,0,34.4,37.2,155.8,80.5253,7,11357,7800
AGAPC,300,1000,1000,300,250,512,10,6,0.309987,867859,14909,1389,950,838042,0.109465,12.9707,1.7458,210,0,34.35,37.4,118.65,78.1959,11,5859,7850
AGAPC,300,1000,1000,300,250,512,10,10,0.31865,873590,22004,5556,5501,836777,0.6297,75.107,0.428851,210,0,34.35,37.3,113.3,55.34,7,12003,4500
AGAPC,300,1000,1000,300,250,512,10,7,0.318727,885721,35808,10128,9051,834913,1.02188,123.576,0.694756,210,0,34.4,37.05,111.65,100.789,12,17506,8300
AGAPC,300,1000,1000,300,250,512,10,9,0.298026,902163,55260,16732,16553,832171,1.83481,226.004,0.428884,210,0,34.35,37.45,180.85,86.0912,11,28157,10500
AGAPC,300,1000,1000,300,250,512,10,4,0.320226,885247,35359,14357,12218,835052,1.38018,166.816,0.454764,210,0,34.35,37.2,127.8,59.3334,9,13305,7800
EGATS-N,300,1000,1000,300,250,512,10,1,0.32226,883477,33063,6743,4701,835495,0.532102,64.1843,1.3259,210,0,34.35,37.25,139.85,70.3251,9,17211,9250
EGATS-N,300,1000,1000,300,250,512,10,7,0.321564,872709,20559,2155,478,837199,0.054772,6.52629,1.09485,210,0,34.4,36.95,128.15,68.6337,10,10709,7800
EGATS-N,300,1000,1000,300,250,512,10,6,0.327932,877220,25811,3195,2351,836501,0.268006,32.099,0.693712,210,0,34.35,37.1,134.05,125.533,7,14460,8300
EGATS-N,300,1000,1000,300,250,512,10,4,0.342462,879772,28909,7651,3101,835940,0.352478,42.339,0.529289,210,0,34.35,37.2,148.8,85.4561,12,14058,7300
EGATS-N,300,1000,1000,300,250,512,10,2,0.325313,880582,29613,10053,5086,836018,0.577573,69.4409,2.75459,210,0,34.35,37.2,131.35,60.6047,7,10961,8750
EGATS-N,300,1000,1000,300,250,512,10,5,0.320891,886449,36907,15591,7052,834694,0.795534,96.2833,0.583473,210,0,34.4,37.2,164,47.1161,11,14555,6850
EGATS-N,300,1000,1000,300,250,512,10,3,0.330935,902071,55061,20233,12252,832128,1.35821,167.281,0.428897,210,0,34.35,37.25,229.65,114.548,17,24659,10300
RCGA-ABC,300,1000,1000,300,250,512,10,1,0.307293,885407,35508,5554,3750,834933,0.423534,51.2,1.9523,210,0,34.35,37.25,131.95,92.5666,9,19807,10300
EGATS-N,300,1000,1000,300,250,512,10,8,0.324062,869683,16958,5573,2409,837725,0.276997,32.8909,0.774029,210,0,34.4,37.2,134.6,74.0741,13,6106,5350
RCGA-ABC,300,1000,1000,300,250,512,10,2,0.309229,869563,17005,8020,4747,837558,0.545906,64.8124,3.63471,210,0,34.35,37.15,120.15,75.346,9,5204,3850
RCGA-ABC,300,1000,1000,300,250,512,10,6,0.288094,879000,27861,2516,2251,836184,0.256086,30.7337,0.566347,210,0,34.35,37.1,133.4,90.936,16,15560,9950
EGATS-N,300,1000,1000,300,250,512,10,10,0.301664,873773,22204,11727,4559,836722,0.52176,62.2455,0.850611,210,0,34.35,37.35,162.9,78.7224,7,5251,5301
EGATS-N,300,1000,1000,300,250,512,10,9,0.343047,879247,28705,13719,10398,835798,1.1826,141.967,1.88744,210,0,34.35,37.5,150.8,56.9444,8,6100,9055
RCGA-ABC,300,1000,1000,300,250,512,10,4,0.32069,876619,25158,6268,3851,836461,0.439301,52.579,1.75313,210,0,34.35,37.2,117.6,88.0133,9,11056,7950
RCGA-ABC,300,1000,1000,300,250,512,10,3,0.300034,878609,27361,6740,5552,836248,0.631908,75.8033,0.793377,210,0,34.35,37.25,131.3,104.581,13,12909,7850
RCGA-ABC,300,1000,1000,300,250,512,10,5,0.31224,880149,29309,7909,4548,835923,0.516731,62.0954,2.47669,210,0,34.4,37.25,171.05,47.8101,14,13859,7650
RCGA-ABC,300,1000,1000,300,250,512,10,7,0.298641,878712,27461,3742,3152,836251,0.358707,43.0353,0.42829,210,0,34.4,36.95,137.4,104.234,9,14609,9250
RCGA-ABC,300,1000,1000,300,250,512,10,9,0.306273,880018,29109,3872,2343,835909,0.266245,31.9898,1.85086,210,0,34.35,37.55,181.05,74.3025,14,15158,10250
RCGA-ABC,300,1000,1000,300,250,512,10,10,0.306612,876370,24909,7676,4377,836589,0.499447,59.7606,0.42879,210,0,34.35,37.35,135.7,83.5209,11,8852,8501
RCGA-ABC,300,1000,1000,300,250,512,10,8,0.307767,874401,22461,9427,4872,837026,0.557181,66.519,2.26938,210,0,34.4,37.2,156.75,61.0917,12,4503,8706
DGA-M,300,1000,1000,300,250,512,10,2,0.320097,884356,34012,9921,8400,835374,0.949844,114.688,1.37761,210,0,34.35,37.15,144,58.6459,7,16160,8050
DGA-M,300,1000,1000,300,250,512,10,1,0.325449,879831,28909,11106,5549,835965,0.630689,75.7623,1.74651,210,0,34.35,37.2,128.55,31.1878,7,10657,7250
DGA-M,300,1000,1000,300,250,512,10,6,0.3158,874442,22854,1892,600,836631,0.0686152,8.192,0.430909,210,0,34.35,37.1,140.6,71.5834,8,13854,7200
DGA-M,300,1000,1000,300,250,512,10,3,0.322043,886300,36711,10661,5198,834823,0.586483,70.97,2.29375,210,0,34.35,37.4,194.35,54.8753,7,13910,12450
DGA-M,300,1000,1000,300,250,512,10,7,0.333336,880076,29406,4866,4701,835769,0.534158,64.1843,0.428527,210,0,34.4,36.95,170.15,108.598,7,16805,7850
DGA-M,300,1000,1000,300,250,512,10,4,0.327731,887305,37711,13150,5211,834769,0.587284,71.1475,1.23388,210,0,34.35,37.2,200.6,69.6205,10,14904,9803
DGA-M,300,1000,1000,300,250,512,10,9,0.324174,882139,31757,2216,1000,835427,0.113361,13.6533,0.431509,210,0,34.35,37.45,167.2,77.379,10,20707,8950
DGA-M,300,1000,1000,300,250,512,10,8,0.310394,872592,20456,6170,4052,837136,0.464364,55.3233,0.439212,210,0,34.4,37.15,148.05,69.4342,7,9604,4750
DGA-M,300,1000,1000,300,250,512,10,5,0.312572,880370,29460,11264,6137,835944,0.697093,83.7905,2.20867,210,0,34.4,37.35,140.3,81.2977,12,9157,9202
DGA-M,300,1000,1000,300,250,512,10,10,0.334176,878030,26761,7244,5100,836362,0.580846,69.632,1.80174,210,0,34.35,37.35,130.2,71.5433,12,10959,8700
CGAPD,300,1000,1000,300,250,512,10,1,0,870540,18352,6352,4249,837221,0.488088,58.013,3.22289,210,0,34.35,37.3,115.45,78.5538,0,3500,8651
CGAPD,300,1000,1000,300,250,512,10,2,0,871435,19156,6415,4002,837279,0.459243,54.6406,2.47151,210,0,34.35,37.2,117.45,72.707,0,3400,9503
CGAPD,300,1000,1000,300,250,512,10,5,0,870264,17610,4188,2411,837691,0.277042,32.9182,2.17662,210,0,34.4,37.35,116.1,71.3051,0,2801,10805
CGAPD,300,1000,1000,300,250,512,10,3,0,868633,15906,6501,3698,837727,0.425726,50.49,3.4814,210,0,34.35,37.25,122.55,73.277,0,1850,7705
CGAPD,300,1000,1000,300,250,512,10,6,0,869223,16753,7281,4283,837505,0.492739,58.4772,3.45592,210,0,34.35,37.2,120.15,50.7322,0,2550,7051
CGAPD,300,1000,1000,300,250,512,10,4,0,871412,19057,8412,5496,837355,0.630701,75.0387,3.03181,210,0,34.35,37.2,121.6,66.4786,0,2650,8157
CGAPD,300,1000,1000,300,250,512,10,7,0,869363,16510,8317,4685,837853,0.5389,63.9659,3.69689,210,0,34.4,37.05,114.95,90.2419,0,1750,6608
CGAPD,300,1000,1000,300,250,512,10,8,0,869106,15965,9364,6052,838183,0.696348,82.63,3.38207,210,0,34.4,37.2,119.25,59.8888,0,1052,5712
CGAPD,300,1000,1000,300,250,512,10,9,0,873664,21809,9848,6601,837030,0.755554,90.1257,2.64044,210,0,34.35,37.55,117.6,52.3888,0,2451,9706
CGAPD,300,1000,1000,300,250,512,10,10,0,869854,17308,8944,4866,837620,0.559404,66.4371,3.51282,210,0,34.35,37.45,121.95,72.4523,0,1201,7305
IAGAPC-Enhanced,500,1000,1000,300,250,512,10,2,0.549074,1449325,28312,8186,5750,1396131,0.396736,78.5067,2.06722,350,0,34.35,37.5,118.35,12.5862,31,8409,11900
IAGAPC-Enhanced,500,1000,1000,300,250,512,10,3,0.567639,1470879,53265,17892,16455,1392614,1.11872,224.666,0.431954,350,0,34.35,37.25,155.35,13.0946,31,24710,10800
IAGAPC-Enhanced,500,1000,1000,300,250,512,10,5,0.559324,1456965,37063,10451,8402,1394902,0.576678,114.715,0.856666,350,0,34.35,37.2,127.8,9.00225,31,16410,10350
IAGAPC-Enhanced,500,1000,1000,300,250,512,10,1,0.553346,1461328,42412,18025,10850,1394004,0.742475,148.139,1.78586,350,0,34.35,37.4,187.25,20.3206,43,16659,7850
IAGAPC-Enhanced,500,1000,1000,300,250,512,10,8,0.562244,1458427,39010,8168,7102,1394451,0.486963,96.966,0.428286,350,0,34.4,37.25,127.3,26.2627,31,22058,8900
IAGAPC-Enhanced,500,1000,1000,300,250,512,10,7,0.563432,1459082,39761,15834,12751,1394407,0.873906,174.094,1.32103,350,0,34.4,37.35,141.4,14.5426,37,15207,8850
IAGAPC-Enhanced,500,1000,1000,300,250,512,10,4,0.578742,1482748,67169,19780,11045,1390731,0.744901,150.801,1.17203,350,0,34.35,37.25,181.95,29.6857,31,30764,16850
IAGAPC-Enhanced,500,1000,1000,300,250,512,10,6,0.560397,1456560,36811,14921,5953,1394782,0.408703,81.2783,1.38885,350,0,34.35,37.2,163,19.7477,36,14706,7301
AGAPC,500,1000,1000,300,250,512,10,1,0.324074,1459533,40264,10010,5602,1394391,0.383821,76.486,0.678728,350,0,34.35,37.4,149.45,58.6956,16,19912,10500
IAGAPC-Enhanced,500,1000,1000,300,250,512,10,9,0.554427,1457500,37763,13937,10853,1394774,0.744631,148.18,0.909275,350,0,34.35,37.3,147.05,18.4339,37,15909,8050
IAGAPC-Enhanced,500,1000,1000,300,250,512,10,10,0.552492,1442845,20759,9558,4949,1397116,0.343003,67.5703,3.24635,350,0,34.35,37.2,139.95,24.6724,49,5654,5652
AGAPC,500,1000,1000,300,250,512,10,3,0.310882,1479080,63213,16930,13803,1390945,0.933215,188.457,0.428824,350,0,34.35,37.25,205.55,58.6866,17,32810,13650
AGAPC,500,1000,1000,300,250,512,10,7,0.318188,1454559,34557,10998,10001,1395002,0.687562,136.547,0.677321,350,0,34.4,37.35,169.15,46.1964,13,16255,7400
AGAPC,500,1000,1000,300,250,512,10,2,0.310184,1460070,41160,10074,5818,1394129,0.398474,79.4351,3.14331,350,0,34.35,37.5,159.3,94.5175,17,14808,16551
AGAPC,500,1000,1000,300,250,512,10,5,0.305872,1449494,28512,10146,6246,1396108,0.430909,85.2787,4.14743,350,0,34.35,37.2,146.9,93.533,17,9411,9100
AGAPC,500,1000,1000,300,250,512,10,9,0.310195,1456106,36461,8682,4301,1394794,0.295377,58.723,0.611878,350,0,34.35,37.3,172.2,74.4218,13,18158,9752
AGAPC,500,1000,1000,300,250,512,10,6,0.31622,1465131,46814,13257,7439,1393438,0.507736,101.567,2.85462,350,0,34.35,37.35,155.9,66.2257,14,18357,15453
AGAPC,500,1000,1000,300,250,512,10,8,0.286507,1470392,53112,16954,8746,1392442,0.594807,119.412,0.498939,350,0,34.4,37.3,174.8,90.6742,17,24908,11400
EGATS-N,500,1000,1000,300,250,512,10,2,0.315343,1451693,31261,6490,3949,1395598,0.272027,53.917,2.40876,350,0,34.35,37.45,121.15,48.3803,16,15510,9400
EGATS-N,500,1000,1000,300,250,512,10,1,0.329851,1461717,42865,8520,3202,1394018,0.219057,43.718,1.35029,350,0,34.35,37.45,161.25,50.4042,20,23402,11160
AGAPC,500,1000,1000,300,250,512,10,4,0.325085,1457578,38112,17442,11199,1394704,0.768329,152.904,2.74788,350,0,34.35,37.3,126.25,84.3285,16,6657,14251
EGATS-N,500,1000,1000,300,250,512,10,3,0.32092,1460343,41709,6466,3743,1393979,0.25631,51.1044,3.0757,350,0,34.35,37.25,163.2,49.8124,23,20607,14850
AGAPC,500,1000,1000,300,250,512,10,10,0.304291,1459672,40214,17166,10905,1394491,0.747086,148.89,0.463097,350,0,34.35,37.2,142.5,64.5184,15,15209,7950
EGATS-N,500,1000,1000,300,250,512,10,5,0.329241,1510976,100072,15221,14042,1385904,0.929333,191.72,0.832144,350,0,34.35,37.25,168.75,90.3203,15,57869,27350
EGATS-N,500,1000,1000,300,250,512,10,4,0.326664,1461160,42312,11364,5303,1394050,0.362931,72.4036,1.9048,350,0,34.35,37.25,143.65,76.687,13,17404,13753
EGATS-N,500,1000,1000,300,250,512,10,8,0.321886,1469706,52116,12400,9202,1392805,0.626112,125.638,1.22359,350,0,34.4,37.2,168.1,34.6014,13,24163,15800
EGATS-N,500,1000,1000,300,250,512,10,10,0.315112,1473308,56566,8505,5102,1392082,0.346296,69.6593,0.489339,350,0,34.35,37.2,180.95,60.7125,19,33414,14850
RCGA-ABC,500,1000,1000,300,250,512,10,2,0.30174,1454383,34063,5777,4801,1395320,0.330106,65.5497,1.24111,350,0,34.35,37.4,137.05,80.9022,19,17961,10500
RCGA-ABC,500,1000,1000,300,250,512,10,1,0.290011,1534165,128067,17559,16080,1381546,1.04813,219.546,0.660668,350,0,34.35,37.45,250.5,96.4249,18,80365,30500
EGATS-N,500,1000,1000,300,250,512,10,7,0.322828,1460427,41213,16378,6102,1394246,0.417823,83.3126,1.36195,350,0,34.4,37.4,145.4,39.5133,13,16009,8951
RCGA-ABC,500,1000,1000,300,250,512,10,4,0.303419,1478938,62912,10534,10302,1391026,0.696581,140.657,0.440733,350,0,34.35,37.25,177.8,122.148,21,37560,15000
EGATS-N,500,1000,1000,300,250,512,10,6,0.317336,1512274,102067,35517,24606,1385377,1.62709,335.954,0.472841,350,0,34.35,37.2,230.5,69.0594,18,46661,20150
RCGA-ABC,500,1000,1000,300,250,512,10,3,0.296223,1466831,48814,8222,4500,1393124,0.306784,61.44,0.500633,350,0,34.35,37.25,178,81.8668,17,27764,13000
RCGA-ABC,500,1000,1000,300,250,512,10,7,0.303431,1439755,17454,1794,800,1397389,0.055565,10.9227,1.79037,350,0,34.4,37.35,134.7,76.933,21,9354,6400
RCGA-ABC,500,1000,1000,300,250,512,10,6,0.294123,1488995,75162,20388,19803,1389166,1.32996,270.377,0.42899,350,0,34.35,37.2,210.35,88.5224,24,39959,15000
RCGA-ABC,500,1000,1000,300,250,512,10,10,0.305693,1467722,49614,11803,10803,1393108,0.736039,147.497,0.457426,350,0,34.35,37.2,150.95,113.719,21,26161,11800
EGATS-N,500,1000,1000,300,250,512,10,9,0.325738,1473632,56715,28027,9655,1392046,0.655184,131.823,0.429931,350,0,34.35,37.35,143.25,65.5577,13,19510,9300
DGA-M,500,1000,1000,300,250,512,10,1,0.304355,1473906,56867,11019,9727,1392165,0.659947,132.806,0.752445,350,0,34.35,37.45,117.9,77.5698,19,30064,16000
RCGA-ABC,500,1000,1000,300,250,512,10,9,0.292696,1484873,69717,16628,11452,1390192,0.771244,156.358,0.67219,350,0,34.35,37.35,180.45,97.0687,20,36514,16800
DGA-M,500,1000,1000,300,250,512,10,4,0.326971,1459166,39958,10062,9952,1394208,0.682033,135.878,0.428492,350,0,34.35,37.25,140.5,58.5804,22,21006,9000
RCGA-ABC,500,1000,1000,300,250,512,10,5,0.29171,1462165,43264,15767,6846,1393966,0.46821,93.4707,2.70563,350,0,34.35,37.2,160.4,73.5107,16,17460,10202
DGA-M,500,1000,1000,300,250,512,10,3,0.324888,1463857,45069,8139,7215,1393910,0.492876,98.5088,1.0952,350,0,34.35,37.3,131.3,72.3821,18,24966,12200
DGA-M,500,1000,1000,300,250,512,10,6,0.309033,1466951,48864,12033,11654,1393130,0.794437,159.116,0.4288,350,0,34.35,37.2,156.9,60.6517,18,23510,13500
DGA-M,500,1000,1000,300,250,512,10,9,0.312726,1445516,24157,3430,1948,1396478,0.134762,26.5967,4.43683,350,0,34.35,37.3,146,67.4219,13,12757,8100
DGA-M,500,1000,1000,300,250,512,10,2,0.318066,1456232,36610,11387,5771,1394803,0.396297,78.7934,2.0419,350,0,34.35,37.55,145.7,65.9189,18,11506,13952
DGA-M,500,1000,1000,300,250,512,10,8,0.306727,1450563,29811,6563,4202,1395840,0.289681,57.3713,0.428489,350,0,34.4,37.25,138.25,98.2998,12,15209,8150
RCGA-ABC,500,1000,1000,300,250,512,10,8,0.295673,1457049,37459,21749,12258,1394668,0.841289,167.363,2.61286,350,0,34.4,37.3,191.95,88.9665,25,7301,8602
DGA-M,500,1000,1000,300,250,512,10,5,0.308236,1470202,52466,17838,12202,1392775,0.829954,166.598,1.04359,350,0,34.35,37.2,145.5,80.6402,15,22012,12800
DGA-M,500,1000,1000,300,250,512,10,7,0.318627,1467696,49959,11967,3652,1392779,0.248825,49.862,0.770232,350,0,34.4,37.45,158.95,68.8685,17,22850,15407
